method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse
stable-local-fallback,this-work,user-certified,primary,0,6c92deedaf55490b424b3009deca19abc61bcdfe4c92aa36795c1864823c6a96,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,-0.9,-0.9000000000000001,-0.9000000000000001,-0.9000000000000001,-0.8999999999999999,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,0.6757877894230436,0.05004400000325404,0.00024776448748640095,0.0002607007223644329
handle-only-drop-residual,this-work,user-certified,primary,0,6c92deedaf55490b424b3009deca19abc61bcdfe4c92aa36795c1864823c6a96,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,-0.9,-0.9000000000000001,-0.9000000000000001,-0.9000000000000001,-0.8999999999999999,1.0,1.0,plan-c,1.0,0.24833222148098733,0.24833222148098733,0.0,0.157,2.1332111413830597,0.06409240000357386,0.00026685214754039823,0.00028860132031409056
unitscope-equal,this-work,user-certified,primary,0,6c92deedaf55490b424b3009deca19abc61bcdfe4c92aa36795c1864823c6a96,0.14285714285714285,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,-0.9,-0.9000000000000001,-0.9000000000000001,-0.9000000000000001,-0.8999999999999999,1.0,1.0,plan-c,1.0,1.0,0.24833222148098733,0.7516677785190127,1.0,1.0117150486576512,0.06016500000259839,0.0002094368609105525,0.00022305437524923239
unitscope-tuned,this-work,user-certified,primary,0,6c92deedaf55490b424b3009deca19abc61bcdfe4c92aa36795c1864823c6a96,0.5,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,-0.9,-0.9000000000000001,-0.9000000000000001,-0.9000000000000001,-0.8999999999999999,1.0,1.0,plan-c,1.0,1.0,0.24833222148098733,0.7516677785190127,0.9135641759958344,1.7557299609576509,0.07699470000807196,0.00018474044238504905,0.00020378057702561889
naive-recalibrated-2c,this-work,user-certified,primary,0,6c92deedaf55490b424b3009deca19abc61bcdfe4c92aa36795c1864823c6a96,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,-0.9,-0.9000000000000001,-0.9000000000000001,-0.9000000000000001,-0.8999999999999999,2.0,2.0,plan-delta,2.0,1.0,0.24833222148098733,0.7516677785190127,0.7805259047123145,1.2140971274181849,0.062041600001975894,0.00017365926683154248,0.0002592379644160945
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,6c92deedaf55490b424b3009deca19abc61bcdfe4c92aa36795c1864823c6a96,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,-0.9,-0.9000000000000001,-0.9000000000000001,-0.9000000000000001,-0.8999999999999999,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0.501,4.200305670656881,0.3421548000042094,0.0,1.992534756221455e-05
non-private-reference,oracle,non-private,diagnostic,0,6c92deedaf55490b424b3009deca19abc61bcdfe4c92aa36795c1864823c6a96,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,-0.9,-0.9000000000000001,-0.9000000000000001,-0.9000000000000001,-0.8999999999999999,,,non-private,0.0,1.0,0.0,0.0,0.0,inf,0.04890740000701044,1.0601839338403172e-05,1.0601839338403172e-05
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,6c92deedaf55490b424b3009deca19abc61bcdfe4c92aa36795c1864823c6a96,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,-0.9,-0.9000000000000001,-0.9000000000000001,-0.9000000000000001,-0.8999999999999999,,2.0,unsafe-diagnostic,1.0,1.0,0.24833222148098733,0.7516677785190127,0.7805259047123145,2.4281942548363697,0.061373200005618855,0.00017365926683154248,0.00019652326806160396
stable-local-fallback,this-work,user-certified,primary,1,6c92deedaf55490b424b3009deca19abc61bcdfe4c92aa36795c1864823c6a96,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,-0.9,-0.9000000000000001,-0.9000000000000001,-0.9000000000000001,-0.8999999999999999,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,0.7778436826179813,0.04987030000484083,0.00023676750733073895,0.0002682490709432477
handle-only-drop-residual,this-work,user-certified,primary,1,6c92deedaf55490b424b3009deca19abc61bcdfe4c92aa36795c1864823c6a96,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,-0.9,-0.9000000000000001,-0.9000000000000001,-0.9000000000000001,-0.8999999999999999,1.0,1.0,plan-c,1.0,0.2504168056018673,0.2504168056018673,0.0,0.178,2.6641411218966913,0.05769929999951273,0.00019578885631947376,0.00022470109051764275
