method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse
stable-local-fallback,this-work,user-certified,primary,0,93c520cd7e498c8db2c59c43bfe745e28e8103590125d2671272306cbecb1e2f,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.7755575615628914e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.0496835424096278,0.06356989999767393,0.0003374961001420338,0.00034469027996743507
handle-only-drop-residual,this-work,user-certified,primary,0,93c520cd7e498c8db2c59c43bfe745e28e8103590125d2671272306cbecb1e2f,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.7755575615628914e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,0.24833222148098733,0.24833222148098733,0.0,0.157,2.773742840508147,0.08893270000407938,0.00027107915818331147,0.0002836367617097917
unitscope-equal,this-work,user-certified,primary,0,93c520cd7e498c8db2c59c43bfe745e28e8103590125d2671272306cbecb1e2f,0.14285714285714285,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.7755575615628914e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,1.0,0.24833222148098733,0.7516677785190127,1.0,1.3283904162393023,0.06615890000830404,0.0002979444660583317,0.0003063645542174402
unitscope-tuned,this-work,user-certified,primary,0,93c520cd7e498c8db2c59c43bfe745e28e8103590125d2671272306cbecb1e2f,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.7755575615628914e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,0.24833222148098733,0.24833222148098733,0.0,0.157,2.773742840508147,0.06407730000501033,0.00027107915818331147,0.0002836367617097917
naive-recalibrated-2c,this-work,user-certified,primary,0,93c520cd7e498c8db2c59c43bfe745e28e8103590125d2671272306cbecb1e2f,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.7755575615628914e-17,0.0,3.122502256758253e-17,2.0,2.0,plan-delta,2.0,1.0,0.24833222148098733,0.7516677785190127,0.7805259047123145,1.7755311325908418,0.06501310000021476,0.00015574203988011858,0.0002247851281215021
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,93c520cd7e498c8db2c59c43bfe745e28e8103590125d2671272306cbecb1e2f,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.7755575615628914e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,1.0,5.146293509251274,0.35949560000153724,0.0,1.9925347562214547e-05
non-private-reference,oracle,non-private,diagnostic,0,93c520cd7e498c8db2c59c43bfe745e28e8103590125d2671272306cbecb1e2f,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.7755575615628914e-17,0.0,3.122502256758253e-17,,,non-private,0.0,1.0,0.0,0.0,0.0,inf,0.05620350000390317,0.00013821921260814165,0.00013821921260814165
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,93c520cd7e498c8db2c59c43bfe745e28e8103590125d2671272306cbecb1e2f,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.0,1.1154897702486132e-18,-2.7755575615628914e-17,0.0,3.122502256758253e-17,,2.0,unsafe-diagnostic,1.0,1.0,0.24833222148098733,0.7516677785190127,0.7805259047123145,3.5510622651816837,0.08656960001098923,0.00015574203988011858,0.0001703382364385958
stable-local-fallback,this-work,user-certified,primary,1,93c520cd7e498c8db2c59c43bfe745e28e8103590125d2671272306cbecb1e2f,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,0.0,-1.0548994110669773e-18,-3.469446951953614e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.2446626361921118,0.052455299999564886,0.0003545236986979344,0.00038961078266318126
handle-only-drop-residual,this-work,user-certified,primary,1,93c520cd7e498c8db2c59c43bfe745e28e8103590125d2671272306cbecb1e2f,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,0.0,-1.0548994110669773e-18,-3.469446951953614e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,0.2504168056018673,0.2504168056018673,0.0,0.178,3.1339735588065887,0.06414059999224264,0.00030436542612998505,0.0003406159486922525
